N,Episode,Patient(s),Medical diagnose(s)
1,Meaning,Richard McNeil,Hypothalamic dysfunction, not elsewhere classified
1,Meaning,Richard McNeil,Addisonian crisis
1,Meaning,Caren Krause,Sequelae of vitamin C deficiency
2,Cane and Able,Clancy Green,Chimera 46, XX/46, XY
3,Informed Consent,Ezra Powell,Amyloidosis of skin
4,Lines in the Sand,Adam Kelvey,Unspecified parasitic disease
5,Fools for Love,Tracy,Angioneurotic oedema
5,Fools for Love,Jeremy,Angioneurotic oedema
6,Que Será Será,George,Malignant neoplasm: Bronchus or lung, unspecified
7,Son of Coma Guy,Kyle Wozniak,Other metabolic disorders
8,Whac-A-Mole,Jack Walters,Granulomatous disorders of skin and subcutaneous tissue
9,Finding Judas,Alice Hartman,Hereditary erythropoietic porphyria
10,Merry Little Christmas,Abigail Ralphean,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease]
11,Words and Deeds,Derek Hoyt,Benign neoplasm: Spinal meninges
12,"One Day, One Room",Ear Patient,"Foreign body in ear"
12,"One Day, One Room",Paciente,"Tinea pedis"
12,"One Day, One Room",Eve,"Chlamydial infection of lower genitourinary tract"
12,"One Day, One Room",Paciente,"Foreign body in stomach"
13,Needle in a Haystack,Stevie Lipa,Foreign body in colon
14,Insensitive,Hannah Morgenthal,Vitamin B deficiency, unspecified
14,Insensitive,Hannah Morgenthal,Taeniasis
15,Half-Wit,Patrick Obyedkov,Aortic arch syndrome [Takayasu]
16,Top Secret,John Kelley,Hereditary haemorrhagic telangiectasia
17,Fetal Position,Fetus,Hydrops fetalis due to other and unspecified haemolytic disease
17,Fetal Position,Emma Sloan,Maternal care for hydrops fetalis
18,Airborne,Fran,Toxic effect: Other specified gases, fumes and vapours
18,Airborne,Peng,Caisson disease [decompression sickness]
19,Act Your Age,Jasper,Precocious puberty
19,Act Your Age,Lucy,Precocious puberty
20,House Training,Lupe,Sepsis due to Staphylococcus aureus
21,Family,Matty,Histoplasmosis
22,Resignation,Addie,Toxic effect of corrosive substances
23,The Jerk,Nate,Disorders of iron metabolism
24,Human Error,Marina Hernandez,Other heart disorders in diseases classified elsewhere
